solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,method,spawn
greedy_faithful,1,20,0,,True,0.5,0,0.0,1.0,9.586835124858107,0.9041316487514189,178.8126513026955,8.187135740056435,0.19114511122864908,0.2509927449404233,136,19.700000000000003,20.0,289,20.05115646805317,18.757285842072417,1.102214532874279e-05,7.814008466099244,0.0,3.4742647058823533,4.5588235294117645,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,2,20,0,,True,0.5,0,0.0,1.0,9.53264027587204,0.9046735972412796,173.73242004112095,9.124461964411537,0.19036478979235807,0.2845887996700557,156,20.400000000000002,20.0,305,19.76901238140704,18.637391014454384,1.142950819805682e-05,7.865220396518136,0.0,5.146367521367521,5.9743589743589745,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,3,20,0,,True,0.5,0,0.0,1.0,9.496822679256434,0.9050317732074357,169.30154488989996,10.0,0.13910575717979795,0.21726879507630345,165,21.700000000000003,20.0,318,19.625831812434882,18.635617891493656,7.3757861636689964e-06,7.866286592740914,0.0,2.902020202020202,3.6606060606060606,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,4,20,0,,True,0.5,0,0.0,1.0,9.114486017251034,0.9088551398274897,169.21091866896015,7.658920742811541,0.29587572290173997,0.43844985708475454,185,23.0,20.0,339,18.1909507840806,15.345104300468059,8.289085546928506e-06,7.763070328295825,0.0,2.8675675675675674,3.3027027027027027,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,5,20,0,,True,0.5,0,0.0,1.0,9.409350000891692,0.9059064999910831,164.0300766100102,9.927322461848517,0.14417404334055228,0.2437925070529019,153,20.3,20.0,304,19.461639060266222,18.287310054993227,9.059868423758202e-06,7.841818266885154,0.0,2.5599128540305007,3.084967320261438,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,6,20,0,,True,0.5,0,0.0,1.0,8.898901908688384,0.9110109809131162,170.54786954047051,7.728322595871571,0.20033978172674283,0.3216718692140541,150,20.200000000000003,20.0,303,19.633517301562033,17.685194044772203,9.49108911218801e-06,7.788365492251062,0.0,2.451111111111111,3.2266666666666666,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,7,20,0,,True,0.5,0,0.0,1.0,9.852245988129527,0.9014775401187047,181.96311255481274,8.906194867213443,0.23231132795562753,0.28390229246299586,145,20.6,20.0,307,20.05287748368762,18.866283021218724,8.330944627036858e-06,7.77745089668011,0.0,3.0045977011494256,3.56551724137931,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,8,20,0,,True,0.5,0,0.0,1.0,10.414286368786406,0.8958571363121359,179.95997633835296,8.77254532536989,0.2025041204974907,0.26493408539784524,141,20.6,20.0,298,20.139889569659477,18.943014507196462,7.83489933105221e-06,7.811797030344166,0.0,3.875886524822695,5.113475177304965,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,9,20,0,,True,0.5,0,0.0,1.0,7.957424076116104,0.920425759238839,170.2449601468532,7.312827421546078,0.22032644038338609,0.32046542078180645,156,20.5,20.0,308,19.24344607378326,16.866910735642488,7.495779219165602e-06,7.825901148691831,0.0,2.3108974358974357,2.878205128205128,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,10,20,0,,True,0.5,0,0.0,1.0,7.709927490223423,0.9229007250977658,172.5480300009993,7.964619676464885,0.2272072334111689,0.32080300908792736,152,19.900000000000002,20.0,301,19.61572453492759,17.9853021473882,7.466445187970368e-06,7.80096138083475,0.0,1.944078947368421,2.4210526315789473,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,11,20,0,,True,0.5,0,0.0,1.0,9.044983966053833,0.9095501603394617,171.18707753597428,8.947602865002391,0.18429340427172747,0.2744164252704715,155,21.400000000000002,20.0,311,19.372387637417056,17.395799752535577,7.514147908287081e-06,7.8259126492235715,0.0,3.1016129032258064,4.019354838709678,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,12,20,0,,True,0.5,0,0.0,1.0,11.221058599993029,0.8877894140000697,167.4550674212678,8.2657390885073,0.1903283092213809,0.2573064639399551,151,21.1,20.0,304,19.870229869809997,18.47672072784763,7.562499997361197e-06,7.8406846081814265,0.0,4.321192052980132,4.490066225165563,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,13,20,0,,True,0.5,0,0.0,1.0,7.33603383880671,0.9266396616119329,170.79708477982234,8.111400016175148,0.19266711586664795,0.32648650124193707,158,22.1,20.0,322,19.048237080419227,17.1418462750934,7.462732914535657e-06,7.720153640281912,0.0,2.6951476793248945,3.607594936708861,nan,nan,1.0,30,30,greedy_faithful,20
greedy_faithful,14,20,0,,True,0.5,0,0.0,1.0,11.17221973653617,0.8882778026346383,163.10257691573253,7.8862850919269185,0.1752053877060245,0.23618855761379132,145,19.700000000000003,20.0,295,19.88219147628682,18.769515100739284,7.700338982955391e-06,7.814164319893776,0.0,2.947701149425287,3.8551724137931034,nan,nan,1.0,30,30,greedy_faithful,20
