solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,weight_name,weight_idx,scale,weight_value
auc,20,20,0,,True,0.5,0,0.0,1.0,9.407553740680285,0.9059244625931971,166.93402134148423,7.934699647711475,0.16711816556318707,0.2433337256145621,134,18.5,20.0,284,19.984879998358565,18.62088451393744,7.446830891176048e-06,7.780866720598752,0.0,3.3694029850746268,4.477611940298507,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,21,20,0,,True,0.5,0,0.0,1.0,8.580740251360497,0.914192597486395,167.6978306337597,8.788243335595922,0.1822559671763047,0.2927496489923887,152,20.0,20.0,299,19.761200637552708,18.03880407792516,7.2324414987484595e-06,7.781099923811674,0.0,2.5065789473684212,3.151315789473684,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,22,20,0,,True,0.5,0,0.0,1.0,7.420463390693355,0.9257953660930665,173.8272398627391,6.054830524517613,0.22881515124567184,0.3382947071789881,146,19.8,20.0,300,19.760899318709864,17.582166321325097,7.61199999639454e-06,7.7145124639305775,0.0,2.4360730593607305,3.0205479452054793,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,23,20,0,,True,0.5,0,0.0,1.0,10.808003059917027,0.8919199694008297,161.38218093533925,7.368530167578919,0.16328022257851518,0.238365592573247,135,19.1,20.0,288,19.960431382890498,18.600609732253737,7.4409720506688854e-06,7.8100729312110735,0.0,2.9839506172839503,3.6814814814814816,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,24,20,0,,True,0.5,0,0.0,1.0,11.828349228936407,0.8817165077106359,167.46317927247046,9.559736587165215,0.20532145156141812,0.3172927886739136,157,20.8,20.0,309,19.35090933736815,17.62858091234035,7.233333370884169e-06,7.868521484122727,0.0,6.238853503184713,6.808917197452229,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,25,20,0,,True,0.5,0,0.0,1.0,7.019565430004038,0.9298043456999596,169.7881232575487,8.490078173154195,0.1732434939822931,0.30215327386213064,172,22.8,20.0,329,19.185766240875463,17.19106281703533,7.130091195260132e-06,7.724628287898847,0.0,2.2887596899224802,2.9127906976744184,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,26,20,0,,True,0.5,0,0.0,1.0,9.502326977815489,0.9049767302218451,171.99739469503638,7.597362303318144,0.24727137289746534,0.34636252598022527,155,20.1,20.0,303,19.124602255439072,16.47975253099528,7.15676567406953e-06,7.797085461090263,0.0,3.076344086021505,3.6580645161290324,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,27,20,0,,True,0.5,0,0.0,1.0,9.667729815856262,0.9033227018414374,166.6210497133607,9.157643193309903,0.1414220961505291,0.226195390254711,155,20.6,20.0,306,19.81168042075604,18.841146438317892,6.9745096612571025e-06,7.828579573128704,0.0,2.990322580645161,3.4838709677419355,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,28,20,0,,True,0.5,0,0.0,1.0,9.336354361253607,0.9066364563874639,168.42787577383444,8.560809743998323,0.21187736871926005,0.3065672107468098,140,20.0,20.0,298,19.431115470222224,17.523755365266588,7.285570497069846e-06,7.830958879278172,0.0,3.3035714285714284,4.064285714285714,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,29,20,0,,True,0.5,0,0.0,1.0,9.524017044627076,0.9047598295537292,171.34053805867188,9.039826068193662,0.2010252104348381,0.2791542371053072,161,21.5,20.0,317,19.53876768796113,17.887029679118804,7.078864179075658e-06,7.815812429027215,0.0,5.282608695652174,6.285714285714286,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
