solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,config,spawn
no_platooning,23,4,0,,True,0.5,0,0.0,1.0,2.24988953837042,0.9775011046162958,180.81555822040633,10.0,0.04821258777382649,0.12577829062142235,58,11.5,4.0,214,20.086489096371327,19.553081087606074,2.4448597720616376e-06,7.669406636300762,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,24,4,0,,True,0.5,0,0.0,1.0,2.0793289338390752,0.9792067106616092,176.06320324652944,10.0,0.13174001194125826,0.3289890125202312,65,12.0,4.0,221,19.592961026906064,18.916880044310993,2.433031607312319e-06,7.627793831334956,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,25,4,0,,True,0.5,0,0.0,1.0,4.30819241483591,0.9569180758516409,170.75255924923167,10.0,0.07661180438008437,0.15476792944996984,69,12.5,4.0,226,19.395452259592247,18.84310651149077,2.4814159901445913e-06,7.661728429287511,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,26,4,0,,True,0.5,0,0.0,1.0,4.661817606564944,0.9533818239343506,174.07192800294763,10.0,0.0811421050655027,0.13592903606435783,64,11.100000000000001,4.0,213,19.847367998860715,19.303439978633133,2.4211266305693317e-06,7.6685764598676,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,27,4,0,,True,0.5,0,0.0,1.0,4.389446912080331,0.9561055308791967,171.69766608391078,10.0,0.023144993793358853,0.05188750871486655,68,11.8,4.0,219,19.833065644580532,19.660642587775726,2.428310420672456e-06,7.6667466736683885,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,28,4,0,,True,0.5,0,0.0,1.0,4.946985755065936,0.9505301424493406,169.21739300009415,10.0,0.06829436617465677,0.12913024342622687,64,12.100000000000001,4.0,222,19.479527026331127,19.142494196822277,2.4617117339181966e-06,7.663348721887534,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,29,4,0,,True,0.5,0,0.0,1.0,5.360653881214672,0.9463934611878533,170.26758921237308,10.0,0.0845794057456578,0.17725086286272138,60,11.9,4.0,221,19.4832708988593,18.816790156038802,2.514932164896018e-06,7.652968947879324,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,30,4,0,,True,0.5,0,0.0,1.0,3.1062459974281698,0.9689375400257183,175.33316985302318,10.0,0.04325069462943846,0.1047763731105201,54,11.5,4.0,217,19.91044699865426,19.464191648852115,2.4958525446065475e-06,7.664272217035893,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
idm_mobil,1,4,0,,True,0.5,0,0.0,1.0,0.894678304435137,0.9910532169556486,168.1300291515459,9.28747858123608,0.12588126415393458,0.21422969304306866,75,13.0,4.0,231,18.879496863630443,17.23408721152818,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,2,4,0,,True,0.5,0,0.0,1.0,1.1373574826416877,0.9886264251735831,166.1415818879284,8.826227590176707,0.14231502421508047,0.30962304663011814,71,11.700000000000001,4.0,224,19.01569856526476,17.774443676317077,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,3,4,0,,True,0.5,0,0.0,1.0,0.9858542430933093,0.9901414575690669,164.65545817404472,10.0,0.13212096602224216,0.18244784146724657,75,13.5,4.0,246,18.276640028990236,17.495691434138262,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,4,4,0,,True,0.5,0,0.0,1.0,1.061421933678608,0.9893857806632139,167.07942674663843,9.720978189688442,0.15669366182354566,0.23723913036674,72,12.100000000000001,4.0,229,18.861957234097368,17.346125275963033,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,5,4,0,,True,0.5,0,0.0,1.0,0.8741528769562024,0.991258471230438,166.44162052414768,8.525424767185585,0.17210274508605594,0.28376681568997997,73,12.100000000000001,4.0,229,18.538584241760475,17.23279336267481,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,6,4,0,,True,0.5,0,0.0,1.0,0.9636054148137618,0.9903639458518624,167.09755389667953,8.091723093761829,0.1676392730669067,0.3322311593481304,72,11.9,4.0,229,18.897434726720057,17.419871825402875,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,7,4,0,,True,0.5,0,0.0,1.0,0.5379147525963246,0.9946208524740368,165.6890686799788,6.4573922110631585,0.2810673702622813,0.39204381695149837,78,12.9,4.0,245,17.55332794811822,15.36704544035216,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,8,4,0,,True,0.5,0,0.0,1.0,1.2154949530774783,0.9878450504692252,166.2494947142149,9.808811250845467,0.12012661656000638,0.18806649279970125,73,13.0,4.0,231,18.864174017760845,17.44881247589075,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,9,4,0,,True,0.5,0,0.0,1.0,1.1951991942453555,0.9880480080575464,165.8757959470693,9.765587577699286,0.13320868857436668,0.21017022775195554,71,12.0,4.0,226,18.750208615038847,17.503616415167553,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,10,4,0,,True,0.5,0,0.0,1.0,0.9601451899176383,0.9903985481008236,167.86236260956028,10.0,0.14257824826379092,0.23817847849161944,84,12.600000000000001,4.0,234,18.631114943320654,17.863057096856842,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,11,4,0,,True,0.5,0,0.0,1.0,1.0071474976050543,0.9899285250239495,165.82305551542953,8.033687967458425,0.17905923521931502,0.27944408771584794,72,12.200000000000001,4.0,233,18.417727164848944,16.86384893694249,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,12,4,0,,True,0.5,0,0.0,1.0,0.7937056621965866,0.9920629433780341,166.60304901323082,10.0,0.11415724527255852,0.1923834306253917,77,13.0,4.0,240,18.603119432335706,17.915703323390403,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,13,4,0,,True,0.5,0,0.0,1.0,0.8428777226954121,0.9915712227730459,165.2973336092618,6.769647407024167,0.22949382442645483,0.33861273810666553,76,12.8,4.0,243,17.859270145862162,15.696120751141088,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,14,4,0,,True,0.5,0,0.0,1.0,1.0261831948967237,0.9897381680510328,167.17868436333004,8.968857116198087,0.13525419831080202,0.21188165986530294,72,12.9,4.0,233,18.752239715617645,16.991859432634932,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,15,4,0,,True,0.5,0,0.0,1.0,0.8007280481664658,0.9919927195183353,165.23328576224932,6.298185083321954,0.3360274585018741,0.4898508876152476,77,12.5,4.0,241,17.946545008818823,15.458993583547464,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,16,4,0,,True,0.5,0,0.0,1.0,0.92724881354036,0.9907275118645964,166.6631728131456,8.535045908474583,0.1562999142361201,0.2516596371304438,72,12.3,4.0,232,18.553437801677973,17.09493990623588,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,17,4,0,,True,0.5,0,0.0,1.0,1.1104394841311205,0.9888956051586888,166.42712704999775,10.0,0.11342275952049845,0.20586142303265328,74,12.3,4.0,224,18.8197746387047,17.729300134825564,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,18,4,0,,True,0.5,0,0.0,1.0,0.9885373522349306,0.9901146264776507,166.8863863110048,9.223142224472772,0.11126152231728588,0.19144712943272266,73,12.700000000000001,4.0,231,18.62823444446226,17.179553477568394,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,19,4,0,,True,0.5,0,0.0,1.0,0.9637866477796742,0.9903621335222033,166.56055364571102,10.0,0.12686185642496864,0.23922757779666792,73,12.0,4.0,223,18.74758689448872,17.76185371506472,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,20,4,0,,True,0.5,0,0.0,1.0,1.057657355104935,0.9894234264489506,167.2468084064068,8.66604264652069,0.18000189419140636,0.34010583769579633,72,11.5,4.0,224,19.237406323859613,17.962694707139836,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,21,4,0,,True,0.5,0,0.0,1.0,1.5616867649037691,0.9843831323509623,157.23216225025828,10.0,0.10182282545993333,0.16758607898451539,98,13.5,4.0,247,18.42164782255334,17.822835568094963,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,22,4,0,,True,0.5,0,0.0,1.0,1.0499754948793516,0.9895002450512065,164.37195949178496,6.6046935248453424,0.2989635634299955,0.45690800488823785,74,12.3,4.0,238,17.910690215028804,15.723667923279635,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,23,4,0,,True,0.5,0,0.0,1.0,1.282739604051275,0.9871726039594872,164.34344100493914,7.865669487260759,0.173704416118264,0.34743418629358425,71,11.9,4.0,230,18.630530677886217,16.909700406309206,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,24,4,0,,True,0.5,0,0.0,1.0,0.5415494448839486,0.9945845055511605,167.3025205840006,6.6978627819355285,0.26512795356555596,0.4128947152642868,76,12.3,4.0,237,18.25985283167606,16.076366033769034,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,25,4,0,,True,0.5,0,0.0,1.0,0.3707272215585533,0.9962927277844145,168.720817842984,10.0,0.12535917867175425,0.18846387739920706,78,13.200000000000001,4.0,241,18.61015378554031,18.098518044010266,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,26,4,0,,True,0.5,0,0.0,1.0,1.1734040382635702,0.9882659596173643,165.7145168291577,10.0,0.13803705526950458,0.2463474625992292,72,11.4,4.0,222,18.768755318334822,17.67972318802746,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,27,4,0,,True,0.5,0,0.0,1.0,0.9624774389996094,0.9903752256100039,166.58817499212776,8.96339634115187,0.1360127677643598,0.2559357438074073,73,12.0,4.0,227,18.71872260379988,17.579526197996017,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,28,4,0,,True,0.5,0,0.0,1.0,1.0600738078629823,0.9893992619213702,165.92141748448216,9.348500081720951,0.12166238088373464,0.18138402549573904,73,12.3,4.0,232,18.310024464035735,16.9789218353682,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
idm_mobil,29,4,0,,True,0.5,0,0.0,1.0,0.9003564234995931,0.9909964357650041,166.30759778079621,10.0,0.10474055085537894,0.18309415846424956,76,12.700000000000001,4.0,238,18.60700965122915,17.665257880180626,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
