solver,seed,max_spawn,traffic_density,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,sweep,level
auc_comm,11,20,1.0,0,,True,0.5,0,0.0,1.0,9.044965941111771,0.9095503405888823,171.18711391844644,8.947602865002391,0.18429340427172747,0.2744164252704715,155,21.400000000000002,20.0,311,19.372387637417056,17.395799752535577,1.2034085209382597e-05,7.826072461526874,0.0,3.0951612903225807,4.012903225806451,2.112540192926045,0.0,1.0,30,30,delay,A
auc_comm,12,20,1.0,0,,True,0.5,0,0.0,1.0,11.221058599993029,0.8877894140000697,167.4550674212678,8.2657390885073,0.1903283092213809,0.2573064639399551,151,21.1,20.0,304,19.870229869809997,18.47672072784763,1.1242103363129948e-05,7.8406846081814265,0.0,4.321192052980132,4.490066225165563,1.9967105263157894,0.0,1.0,30,30,delay,A
auc_comm,13,20,1.0,0,,True,0.5,0,0.0,1.0,7.33603383880671,0.9266396616119329,170.79708477982234,8.111400016175148,0.19266711586664795,0.32648650124193707,158,22.1,20.0,322,19.048237080419227,17.1418462750934,1.0933229187792688e-05,7.720153640281912,0.0,2.6951476793248945,3.607594936708861,1.9223602484472049,0.0,1.0,30,30,delay,A
auc_comm,14,20,1.0,0,,True,0.5,0,0.0,1.0,11.17221973653617,0.8882778026346383,163.10257691573253,7.8862850919269185,0.1752053877060245,0.23618855761379132,145,19.700000000000003,20.0,295,19.88219147628682,18.769515100739284,1.0586101403933461e-05,7.814164319893776,0.0,2.947701149425287,3.8551724137931034,1.993220338983051,0.0,1.0,30,30,delay,A
auc_comm,15,20,1.0,0,,True,0.5,0,0.0,1.0,10.445273124986032,0.8955472687501397,168.25837915316075,9.22945181654962,0.19343378995488575,0.28420823820487867,142,20.0,20.0,300,20.05066723472193,18.53058931038907,1.2671333194399874e-05,7.896129201333548,0.0,4.204225352112676,5.26056338028169,2.08,0.0,1.0,30,30,delay,A
auc_comm,16,20,1.0,0,,True,0.5,0,0.0,1.0,8.676620069184937,0.9132337993081506,180.03943898252797,8.777615557003715,0.2538531684309168,0.3106872219752027,146,19.200000000000003,20.0,292,19.92464543991254,18.542637578754288,1.3487331596305212e-05,7.836489536799627,0.0,2.8801369863013697,3.4863013698630136,2.2945205479452055,0.0,1.0,30,30,delay,A
auc_comm,17,20,1.0,0,,True,0.5,0,0.0,1.0,8.863704958783348,0.9113629504121665,176.8688291718449,8.259280909501483,0.21363179804534796,0.27573964945761137,145,19.3,20.0,295,20.04414285233264,19.0068982921785,1.1212879326194524e-05,7.820033742972065,0.0,3.6551724137931036,4.63448275862069,2.1898305084745764,0.0,1.0,30,30,delay,A
auc_comm,18,20,1.0,0,,True,0.5,0,0.0,1.0,9.875568973257353,0.9012443102674265,178.58030070844342,8.50582662804326,0.20768279042449658,0.2878603679416992,149,19.400000000000002,20.0,294,19.705254964688297,18.0281874355016,1.0487753787033615e-05,7.851522414787117,0.0,5.225391498881432,6.429530201342282,2.142857142857143,0.0,1.0,30,30,delay,A
auc_comm,19,20,1.0,0,,True,0.5,0,0.0,1.0,6.268449665343201,0.937315503346568,182.1775514528693,10.0,0.24628068762728986,0.32882843021345454,163,20.900000000000002,20.0,311,19.678243618324053,17.595997503779085,1.2727329467042946e-05,7.787657539735048,0.0,2.602249488752556,3.2883435582822087,2.09967845659164,0.0,1.0,30,30,delay,A
auc_comm,20,20,1.0,0,,True,0.5,0,0.0,1.0,9.34878234970884,0.9065121765029116,166.92218127113443,7.994599014019486,0.16526408375088183,0.24188758668691926,134,18.5,20.0,284,19.976025844578324,18.6108393607787,1.3821830064661696e-05,7.8240854688877794,0.0,2.958333333333334,3.925373134328358,2.390845070422535,0.0,1.0,30,30,delay,A
auc_comm,21,20,1.0,0,,True,0.5,0,0.0,1.0,8.53937741216132,0.9146062258783868,167.62102907870704,8.76301932390351,0.1805107136342868,0.29151090603320123,152,20.0,20.0,300,19.75125437578717,18.031977469270387,1.2109667295590043e-05,7.823233043209248,0.0,2.5032894736842106,3.151315789473684,2.1866666666666665,0.0,1.0,30,30,delay,A
auc_comm,22,20,1.0,0,,True,0.5,0,0.0,1.0,7.789374369804547,0.9221062563019545,172.18312421223234,6.170644224317078,0.21551718052048172,0.3269792017303749,147,19.900000000000002,20.0,300,19.67319965812671,17.62119553581973,1.1824000587997337e-05,7.775964383245361,0.0,2.510204081632653,3.5238095238095237,2.45,0.0,1.0,30,30,delay,A
auc_comm,23,20,1.0,0,,True,0.5,0,0.0,1.0,10.612618763445225,0.8938738123655477,160.71251337638657,7.462860809017316,0.16281188523102327,0.23710255592203414,135,19.1,20.0,289,19.935989409331338,18.594012988585728,1.3131141150209112e-05,7.85608640865392,0.0,3.2364197530864196,4.037037037037037,2.152249134948097,0.0,1.0,30,30,delay,A
auc_comm,24,20,1.0,0,,True,0.5,0,0.0,1.0,11.807320633583752,0.8819267936641625,168.50528709974327,9.519637725904401,0.21293439825518662,0.32118841065995735,157,20.900000000000002,20.0,310,19.364553580987067,17.671891353454924,1.1761289750856737e-05,7.898278405053789,0.0,6.085987261146497,6.643312101910828,2.632258064516129,0.0,1.0,30,30,delay,A
auc_comm,25,20,1.0,0,,True,0.5,0,0.0,1.0,6.976155249017413,0.9302384475098259,172.08270618310272,8.414469614511946,0.18766706651178208,0.3118310257815427,172,22.8,20.0,329,19.229957560544847,17.27485265655393,1.27987838123775e-05,7.768177981466347,0.0,2.2761627906976742,2.86046511627907,2.0972644376899696,0.0,1.0,30,30,delay,A
auc_comm,26,20,1.0,0,,True,0.5,0,0.0,1.0,9.479629500716058,0.9052037049928394,171.59593553345937,7.343726877258726,0.24611998357702225,0.3452629974144419,155,20.1,20.0,303,19.116136864443522,16.479997571705493,1.3179868258376031e-05,7.837822358662884,0.0,3.076344086021505,3.6580645161290324,2.3597359735973598,0.0,1.0,30,30,delay,A
auc_comm,27,20,1.0,0,,True,0.5,0,0.0,1.0,9.676416582346059,0.9032358341765394,165.69344697327017,9.125358974590084,0.142010879335438,0.22785576519064044,156,20.700000000000003,20.0,307,19.791114172973234,18.807504677895146,1.1524106095262867e-05,7.875583408293105,0.0,3.0202991452991452,3.5,2.188925081433225,0.0,1.0,30,30,delay,A
auc_comm,28,20,1.0,0,,True,0.5,0,0.0,1.0,8.781872999163909,0.9121812700083609,175.66657243873877,9.403833884654052,0.23108228102647188,0.29613849022282757,136,19.8,20.0,294,19.827302712032655,18.39993546279495,1.0831292035995799e-05,7.8267736155486345,0.0,2.633578431372549,3.3308823529411766,2.251700680272109,0.0,1.0,30,30,delay,A
auc_comm,29,20,1.0,0,,True,0.5,0,0.0,1.0,9.538848459353622,0.9046115154064638,170.47575006002074,8.876066606895801,0.19832089050377918,0.2775630055458289,161,21.5,20.0,317,19.53356556676377,17.88971301412252,1.1106624528001818e-05,7.858743639762797,0.0,5.298136645962733,6.3229813664596275,2.305993690851735,0.0,1.0,30,30,delay,A
