solver,seed,max_spawn,traffic_density,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,config,spawn,density,vph
auc,4,50,0.3,0,,False,0.5,0,0.0,1.0,8.577238462964376,0.9142276153703562,165.34257637907487,8.440896453537976,0.1463087467183152,0.22321225852799614,562,63.1,50.0,728,19.540509518074547,18.276184696095367,8.039421687839082e-06,7.850718838603239,0.004337946705226193,2.4525504151838673,2.580071174377224,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,5,50,0.3,0,,False,0.5,0,0.0,1.0,9.451362041094624,0.9054863795890538,163.67938255595743,9.024731044098136,0.14273494329425318,0.22834387381179252,539,59.0,50.0,690,19.59743826467765,18.43932669035476,9.391158633608965e-06,7.855733287730381,0.016045739579490962,2.616883116883117,2.7291280148423005,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,6,50,0.3,0,,False,0.5,0,0.0,1.0,8.460288570794283,0.9153971142920572,164.7721497159424,8.843014863866813,0.11450542327360519,0.20704907485273072,582,63.7,50.0,731,19.66093875715354,18.570818221620257,9.676334053206622e-06,7.838202717346153,0.013290559120073327,2.1941580756013748,2.3487972508591066,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,7,50,0.3,0,,False,0.5,0,0.0,1.0,8.84372206007077,0.9115627793992923,167.6861250975482,8.629767361251677,0.15627299042812798,0.23763686704361564,495,59.6,50.0,696,19.702082994512867,18.61184163125464,1.084741309349393e-05,7.815547876286531,0.015248493975903615,2.937373737373737,3.21010101010101,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,8,50,0.3,1,planner_abort,False,0.5,0,0.0,1.0,9.871088157299946,0.9012891184270005,164.79778542695573,7.565028613526972,0.19070541205094685,2.3498180520627483,370,51.0,33.0,510,19.572624739822235,17.55736428991042,1.1924705719210061e-05,7.792423377925121,0.02834678253672667,3.212162162162162,3.3027027027027027,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,9,50,0.3,0,,False,0.5,0,0.0,1.0,7.561933622669992,0.9243806637733001,167.97152921566848,8.48374153724824,0.17581555870938662,0.29643973708443744,539,61.2,50.0,713,19.378926579632267,18.085920185225202,1.3843616816838275e-05,7.796842588133341,0.02865329512893983,2.421768707482993,2.7012987012987013,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,10,50,0.3,1,planner_abort,False,0.5,0,0.0,1.0,0.0,1.0,nan,6.409608747136617,0.3834179346621331,0.5690632546321965,0,4.7,0.0,47,19.796087172438057,17.442072860021376,7.1446782849887585e-06,6.935598827914366,0.2108843537414966,nan,nan,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,11,50,0.3,1,planner_abort,False,0.5,0,0.0,1.0,6.190394984401959,0.9380960501559804,169.80612848503915,6.20715683019103,0.2574573065246291,2.491948849551843,326,46.5,27.0,465,19.075928060200386,16.445903758384986,1.1363656194980748e-05,7.682616028467065,0.059078771695594126,1.9309815950920246,2.168711656441718,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,12,50,0.3,0,,False,0.5,0,0.0,1.0,10.021257277717888,0.8997874272228211,164.01718780079133,8.884946473429022,0.1547320211021737,0.36630489709226793,526,58.300000000000004,50.0,683,19.41894054482344,17.593973625917283,9.12986752354863e-06,7.879825603968817,0.01696658097686375,3.302281368821293,3.44106463878327,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,13,50,0.3,1,planner_abort,False,0.5,0,0.0,1.0,5.212378524361638,0.9478762147563836,172.2225888329472,6.9765586592844455,0.2556271653548631,2.218264918231513,140,27.900000000000002,9.0,279,18.73213493542648,15.49814831190089,1.0408603170666323e-05,7.621623605551655,0.0673665791776028,1.5107142857142857,1.6071428571428572,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
